,,,
,,,
,,,
,1450374118,47.04,24
,1450374247,59.35,99
,1450374377,51.48,40
,1450374565,47.04,24
,1450444998,53.06,48
,1450445127,47.04,24
,1450445256,37.5,8
,1450445385,33.42,5
,1450445514,35,6
,1450445643,35,6
,1450445772,33.42,5
,1450445901,46.67,23
,1450446030,35,6
,1450446159,35,6
,1450446288,33.42,5
,1450446417,35,6
,1450446546,35,6
,1450446675,36.34,7
,1450446804,35,6
,1450446933,35,6
,1450447062,33.42,5
,1450447191,41.72,13
,1450447320,35,6
,1450447449,42.36,14
,1450447578,38.52,9
,1450447707,42.36,14
,1450447836,39.44,10
,1450447965,41.02,12
,1450448094,33.42,5
,1450448223,35,6
,1450448352,36.34,7
,1450448481,37.5,8
,1450448610,41.02,12
,1450448739,42.36,14
,1450448868,36.34,7
,1450448997,37.5,8
,1450449126,35,6
,1450449255,35,6
,1450449384,48.38,28
,1450449513,35,6
,1450449642,37.5,8
,1450449771,33.42,5
,1450449900,37.5,8
,1450450029,36.34,7
,1450450157,38.52,9
,1450450286,36.34,7
,1450450415,37.5,8
,1450450544,38.52,9
,1450450673,38.52,9
,1450450802,35,6
,1450450931,35,6
,1450451060,33.42,5
,1450451189,33.42,5
,1450451318,36.34,7
,1450451447,35,6
,1450451576,33.42,5
,1450451705,39.44,10
,1450451834,35,6
,1450451963,36.34,7
,1450452092,35,6
,1450452221,36.34,7
,1450452350,36.34,7
,1450452479,35,6
,1450452607,36.34,7
,1450452736,35,6
,1450452865,35,6
,1450452994,36.34,7
,1450453123,45.46,20
,1450453252,35,6
,1450453381,36.34,7
,1450453510,35,6
,1450453639,37.5,8
,1450453768,36.34,7
,1450453897,37.5,8
,1450454026,40.26,11
,1450454155,42.36,14
,1450454284,35,6
,1450454412,37.5,8
,1450454541,36.34,7
,1450454670,37.5,8
,1450454799,36.34,7
,1450454928,37.5,8
,1450455057,42.36,14
,1450455186,36.34,7
,1450455315,43.52,16
,1450455444,38.52,9
,1450455573,40.26,11
,1450455702,39.44,10
,1450455831,39.44,10
,1450455960,36.34,7
,1450456089,36.34,7
,1450456217,36.34,7
,1450456346,35,6
,1450456475,39.44,10
,1450456604,41.02,12
,1450456733,33.42,5
,1450456862,39.44,10
,1450456991,39.44,10
,1450457120,38.52,9
,1450457249,40.26,11
,1450457378,46.29,22
,1450457507,41.02,12
,1450457636,47.04,24
,1450457765,37.5,8
,1450457893,44.05,17
,1450458022,36.34,7
,1450458151,37.5,8
,1450458280,46.67,23
,1450458409,51.26,39
,1450458538,38.52,9
,1450458667,37.5,8
,1450458796,41.02,12
,1450458925,37.5,8
,1450459054,40.26,11
,1450459183,39.44,10
,1450459312,50.56,36
,1450459441,53.06,48
,1450459570,36.34,7
,1450459698,33.42,5
,1450459827,46.67,23
,1450459956,35,6
,1450460085,41.02,12
,1450460214,45.01,19
,1450460343,37.5,8
,1450460472,42.96,15
,1450460601,36.34,7
,1450460730,35,6
,1450460859,37.5,8
,1450460988,35,6
,1450461117,39.44,10
,1450461246,38.52,9
,1450461374,36.34,7
,1450461503,38.52,9
,1450461632,35,6
,1450461761,33.42,5
,1450461890,33.42,5
,1450462019,40.26,11
,1450462148,36.34,7
,1450462277,39.44,10
,1450462406,35,6
,1450462535,45.88,21
,1450462664,37.5,8
,1450462793,39.44,10
,1450462921,39.44,10
,1450463050,33.42,5
,1450463179,37.5,8
,1450463308,37.5,8
,1450463437,37.5,8
,1450463566,37.5,8
,1450463695,37.5,8
,1450463824,35,6
,1450463953,48.98,30
,1450464082,35,6
,1450464211,35,6
,1450464340,38.52,9
,1450464468,45.01,19
,1450464597,36.34,7
,1450464726,39.44,10
,1450464855,37.5,8
,1450464984,41.72,13
,1450465113,35,6
,1450465242,44.05,17
,1450465371,33.42,5
,1450465500,35,6
,1450465629,35,6
,1450465758,48.38,28
,1450465886,33.42,5
,1450466015,33.42,5
,1450466144,35,6
,1450466273,37.5,8
,1450466402,33.42,5
,1450466531,33.42,5
,1450466660,45.01,19
,1450466789,45.88,21
,1450466918,35,6
,1450467047,39.44,10
,1450467175,37.5,8
,1450467304,36.34,7
,1450467433,41.02,12
,1450467562,38.52,9
,1450467691,39.44,10
,1450467820,38.52,9
,1450467949,35,6
,1450468078,41.02,12
,1450468207,37.5,8
,1450468336,33.42,5
,1450468464,33.42,5
,1450468593,39.44,10
,1450468722,36.34,7
,1450468851,38.52,9
,1450468980,36.34,7
,1450469109,48.06,27
,1450469238,51.26,39
,1450469367,37.5,8
,1450469496,36.34,7
,1450469624,37.5,8
,1450469753,35,6
,1450469882,37.5,8
,1450470011,35,6
,1450470140,39.44,10
,1450470269,41.02,12
,1450470398,39.44,10
,1450470527,39.44,10
,1450470656,38.52,9
,1450470784,41.02,12
,1450470913,43.52,16
,1450471042,36.34,7
,1450471171,36.34,7
,1450471300,38.52,9
,1450471429,37.5,8
,1450471558,37.5,8
,1450471687,33.42,5
,1450471816,33.42,5
,1450471944,37.5,8
,1450472073,42.36,14
,1450472202,37.5,8
,1450472331,35,6
,1450472460,36.34,7
,1450472589,36.34,7
,1450472718,39.44,10
,1450472847,38.52,9
,1450472976,37.5,8
,1450473104,38.52,9
,1450473233,47.74,26
,1450473362,39.44,10
,1450473491,36.34,7
,1450473620,38.52,9
,1450473749,40.26,11
,1450473878,43.52,16
,1450474007,36.34,7
,1450474136,40.26,11
,1450474264,40.26,11
,1450474393,41.02,12
,1450474522,42.96,15
,1450474651,38.52,9
,1450474780,35,6
,1450474909,36.34,7
,1450475038,36.34,7
,1450475167,38.52,9
,1450475296,39.44,10
,1450475424,44.05,17
,1450475553,42.36,14
,1450475682,45.01,19
,1450475811,41.72,13
,1450475940,45.01,19
,1450476069,37.5,8
,1450476198,44.05,17
,1450476327,38.52,9
,1450476456,40.26,11
,1450476585,36.34,7
,1450476713,37.5,8
,1450476842,37.5,8
,1450476971,39.44,10
,1450477100,38.52,9
,1450477229,38.52,9
,1450477358,39.44,10
,1450477487,38.52,9
,1450477616,36.34,7
,1450477745,41.02,12
,1450477873,41.72,13
,1450478002,40.26,11
,1450478131,36.34,7
,1450478260,38.52,9
,1450478389,38.52,9
,1450478518,38.52,9
,1450478647,40.26,11
,1450478776,38.52,9
,1450478905,40.26,11
,1450479034,39.44,10
,1450479162,43.52,16
,1450479291,40.26,11
,1450479420,44.54,18
,1450479549,39.44,10
,1450479678,38.52,9
,1450479807,38.52,9
,1450479936,39.44,10
,1450480065,40.26,11
,1450480194,40.26,11
,1450480323,39.44,10
,1450480451,42.36,14
,1450480580,41.02,12
,1450480709,38.52,9
,1450480838,43.52,16
,1450480967,39.44,10
,1450481096,41.02,12
,1450481225,39.44,10
,1450481354,37.5,8
,1450481483,35,6
,1450481611,39.44,10
,1450481740,40.26,11
,1450481869,42.96,15
,1450481998,47.4,25
,1450482127,35,6
,1450482256,35,6
,1450482385,36.34,7
,1450482514,35,6
,1450482643,36.34,7
,1450482772,36.34,7
,1450482900,39.44,10
,1450483029,36.34,7
,1450483158,38.52,9
,1450483287,35,6
,1450483416,38.52,9
,1450483545,39.44,10
,1450483674,38.52,9
,1450483803,37.5,8
,1450483932,40.26,11
,1450484061,35,6
,1450484189,40.26,11
,1450484318,38.52,9
,1450484447,35,6
,1450484576,35,6
,1450484705,38.52,9
,1450484834,35,6
,1450484963,33.42,5
,1450485092,41.02,12
,1450485221,37.5,8
,1450485350,31.48,4
,1450485478,33.42,5
,1450485607,31.48,4
,1450485736,40.26,11
,1450485865,33.42,5
,1450485994,33.42,5
,1450486123,36.34,7
,1450486252,35,6
,1450486381,42.36,14
,1450486510,35,6
,1450486638,41.02,12
,1450486767,41.02,12
,1450486896,38.52,9
,1450487025,37.5,8
